medcodeid	snomedctconceptid	snomedctdescriptionid	readcode	term	incident	prevalent
350153016	233683003	350153016	H330011	hay fever with asthma	1	1
350154010	233683003	350154010	H330.14	pollen asthma	1	1
350156012	708094006	3032866010	H331111	acute exacerbation of intrinsic asthma	1	1
396114013	266361008	396114013	H331.00	intrinsic asthma	1	1
396118011	734904007	3511368015	H33z000	life threatening acute exacerbation of asthma	1	1
396119015	708038006	3032734012	H33z100	asthma attack	1	1
396120014	195967001	301485011	H33zz00	asthma nos	1	1
405054019	270442000	405054019	9OJA.11	asthma monitored	0	1
405055018	270442000	405055018	9OJA.00	asthma monitoring check done	0	1
409865018	708038006	3032734012	H33z111	asthma attack nos	1	1
411877015	275908000	411877015	663..11	asthma monitoring	0	1
419211018	708038006	3032747019	H333.00	acute exacerbation of asthma	1	1
456163018	312453004	456163018	663j.00	asthma - currently active	0	1
536221000000110	302331000000106	536221000000110	388t.00	royal college of physicians asthma assessment	0	1
636231000000119	201191000000108	305961000000113	1788.00	asthma trigger - cold air	1	1
636251000000114	201201000000105	305981000000116	1785.00	asthma trigger - damp	1	1
636271000000117	201211000000107	306001000000115	1784.00	asthma trigger - emotion	1	1
636291000000118	201031000000108	305571000000112	1789.00	asthma trigger - respiratory infection	1	1
636311000000117	201041000000104	305591000000111	1787.00	asthma trigger - seasonal	1	1
655601000006113	31387002	52467014	173A.00	exercise-induced asthma	1	1
655611000006111	31387002	52467014	H33zz11	exercise induced asthma	1	1
660351000006118	389145006	1493645010	H330.00	allergic atopic asthma	1	1
69311016	41553006	69311016	H47y000	detergent asthma	1	1
797211000006117	182724005	282486014	8791.00	further asthma - drug prevention	0	1
817361000006114	233683003	350153016	H330.13	hay fever with asthma	1	1
929091000006111	407674008	2159273015	1780.00	aspirin-induced asthma	1	1
94731013	56968009	497732010	H35y700	wood asthma	1	1
95786019	57607007	95786019	173c.00	occupational asthma	1	1
983771000006118	57607007	95786019	173d.00	work aggravated asthma	1	1
98546013	1086711000000100	2722261000000119	H331100	life threatening acute exacerbation of intrinsic asthma	1	1
