prodcodeid	dmdid	bnfcode	readcode	termfromemis	dmdproductdescription	bnfname	productname	readcode_desc	dmdlevel	vpid	atc	formulation	routeofadministration	drugsubstancename	substancestrength	category
10589141000033112	29987211000001108	0301040X0AAAAAA	NA	tiotropium bromide 2.5micrograms/dose / olodaterol 2.5micrograms/dose solution for inhalation cartridge with device cfc free	tiotropium bromide 2.5micrograms/dose / olodaterol 2.5micrograms/dose solution for inhalation cartridge with device cfc free	tiotropium brom 2.5microg/olodaterol 2.5microg/dose soln&dev	tiotropium bromide 2.5micrograms/dose / olodaterol 2.5micrograms/dose solution for inhalation cartridge with device cfc free	NA	VMP	29987211000001108	R03AL06	inhalation solution	inhalation	olodaterol hydrochloride/ tiotropium bromide	2.500microgram/1.000dose + 2.500microgram/1.000dose	laba-lama
10589241000033117	29971311000001100	0301040X0BBAAAA	NA	spiolto respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (boehringer ingelheim ltd)	spiolto respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (boehringer ingelheim ltd)	spiolto respimat 2.5microg/dose/2.5microg/dose soln	spiolto respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device	NA	AMP	29987211000001108	R03AL06	inhalation solution	inhalation	olodaterol hydrochloride/ tiotropium bromide	2.500microgram/1.000dose + 2.500microgram/1.000dose	laba-lama
10715041000033111	30950311000001106	0302000N0BGAAAZ	NA	airflusal forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (sandoz ltd)	airflusal forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (sandoz ltd)	airflusal forspiro 50microg / 500microg/dose dry pdr inh	airflusal forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler	NA	AMP	38897411000001103	R03AK06	inhalation powder	inhalation	fluticasone propionate/ salmeterol xinafoate	500.000microgram/1.000dose + 50.000microgram/1.000dose	laba-ics
10735041000033115	31087511000001105	0302000C0AACACA	NA	beclometasone 200micrograms/dose / formoterol 6micrograms/dose dry powder inhaler	beclometasone 200micrograms/dose / formoterol 6micrograms/dose dry powder inhaler	beclometasone 200microg/formoterol 6microg/dose dry pdr inh	beclometasone 200micrograms/dose / formoterol 6micrograms/dose dry powder inhaler	NA	VMP	31087511000001105	R03AK08	inhalation powder	inhalation	beclometasone dipropionate/ formoterol fumarate dihydrate	200.000microgram/1.000dose + 6.000microgram/1.000dose	laba-ics
10735141000033116	31063111000001106	0302000C0BRABCA	NA	fostair nexthaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (chiesi ltd)	fostair nexthaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (chiesi ltd)	fostair nexthaler 200microg/dose / 6microg/dose dry pdr inh	fostair nexthaler 200micrograms/dose / 6micrograms/dose dry powder inhaler	NA	AMP	31087511000001105	R03AK08	inhalation powder	inhalation	beclometasone dipropionate/ formoterol fumarate dihydrate	200.000microgram/1.000dose + 6.000microgram/1.000dose	laba-ics
10740041000033111	31087411000001106	0302000C0AABZBZ	NA	beclometasone 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free	beclometasone 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free	beclometasone 200microg/formoterol 6microg/dose inh cfc free	beclometasone 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free	NA	VMP	31087411000001106	R03AK08	pressurised inhalation	inhalation	beclometasone dipropionate/ formoterol fumarate dihydrate	200.000microgram + 6.000microgram	laba-ics
10740141000033110	31063411000001101	0302000C0BQABBZ	NA	fostair 200micrograms/dose / 6micrograms/dose inhaler (chiesi ltd)	fostair 200micrograms/dose / 6micrograms/dose inhaler (chiesi ltd)	fostair 200micrograms/dose / 6micrograms/dose inhaler	fostair 200micrograms/dose / 6micrograms/dose inhaler	NA	AMP	31087411000001106	R03AK08	pressurised inhalation	inhalation	beclometasone dipropionate/ formoterol fumarate dihydrate	200.000microgram + 6.000microgram	laba-ics
1114241000033116	325442004	0603020T0AAAFAF	NA	prednisolone 2.5mg gastro-resistant tablets	prednisolone 2.5mg gastro-resistant tablets	prednisolone 2.5mg gastro-resistant tablets	prednisolone 2.5mg gastro-resistant tablets	NA	VMP	325442004	H02AB06	gastro-resistant tablet	oral	prednisolone	2.500mg	ocs
1114341000033114	325443009	0603020T0AAAGAG	NA	prednisolone 5mg gastro-resistant tablets	prednisolone 5mg gastro-resistant tablets	prednisolone 5mg gastro-resistant tablets	prednisolone 5mg gastro-resistant tablets	NA	VMP	325443009	H02AB06	gastro-resistant tablet	oral	prednisolone	5.000mg	ocs
1127341000033111	39722711000001103	0603020T0AABHBH	fe6j.	prednisolone 5mg soluble tablets	prednisolone 5mg soluble tablets	prednisolone 5mg soluble tablets	prednisolone 5mg soluble tablets	prednisolone 5mg soluble tablets	VMP	39722711000001103	H02AB06	soluble tablet	oral	prednisolone sodium phosphate	5.000mg	ocs
1130741000033110	325450008	0603020T0AAARAR	fe6z.	prednisolone 25mg tablets	prednisolone 25mg tablets	prednisolone 25mg tablets	prednisolone 25mg tablets	prednisolone 25mg tablets	VMP	325450008	H02AB06	tablet	oral	prednisolone	25.000mg	ocs
1130841000033117	NA	NA	NA	prednisolone steaglate tablets 6.65 mg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ocs
1131741000033117	325426006	0603020T0AAAAAA	fe61.	prednisolone 1mg tablets	prednisolone 1mg tablets	prednisolone 1mg tablets	prednisolone 1mg tablets	prednisolone 1mg tablets	VMP	325426006	H02AB06	tablet	oral	prednisolone	1.000mg	ocs
1131841000033110	28808611000001100	0603020T0AAABAB	NA	prednisolone 2.5mg tablets	prednisolone 2.5mg tablets	prednisolone 2.5mg tablets	prednisolone 2.5mg tablets	NA	VMP	28808611000001100	H02AB06	tablet	oral	prednisolone	2.500mg	ocs
1131941000033119	325427002	0603020T0AAACAC	fe62.	prednisolone 5mg tablets	prednisolone 5mg tablets	prednisolone 5mg tablets	prednisolone 5mg tablets	prednisolone 5mg tablets	VMP	325427002	H02AB06	tablet	oral	prednisolone	5.000mg	ocs
1132041000033113	NA	NA	NA	prednisone tablets 1 mg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ocs
1132141000033112	NA	NA	NA	prednisone tablets 5 mg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ocs
1143041000033117	2924111000001109	0302000K0BBADAD	NA	pulmicort 200micrograms/dose inhaler (astrazeneca uk ltd)	pulmicort 200micrograms/dose inhaler (astrazeneca uk ltd)	pulmicort 200micrograms/dose inhaler	pulmicort 200micrograms/dose inhaler	NA	AMP	35912511000001101	R03BA02	pressurised inhalation	inhalation	budesonide	200.000microgram/1.000dose	ics
1143141000033118	3240911000001108	0302000K0BBAEAA	NA	pulmicort ls 50micrograms/dose inhaler (astrazeneca uk ltd)	pulmicort ls 50micrograms/dose inhaler (astrazeneca uk ltd)	pulmicort ls 50micrograms/dose inhaler	pulmicort ls 50micrograms/dose inhaler	NA	AMP	35912811000001103	R03BA02	pressurised inhalation	inhalation	budesonide	50.000microgram/1.000dose	ics
1145141000033119	3112411000001105	0302000K0BBAHAG	NA	pulmicort 200 turbohaler (astrazeneca uk ltd)	pulmicort 200 turbohaler (astrazeneca uk ltd)	pulmicort 200 turbohaler	pulmicort 200 turbohaler	NA	AMP	35912411000001100	R03BA02	inhalation powder	inhalation	budesonide	200.000microgram/1.000dose	ics
1145241000033114	3228711000001106	0302000K0BBAIAH	NA	pulmicort 400 turbohaler (astrazeneca uk ltd)	pulmicort 400 turbohaler (astrazeneca uk ltd)	pulmicort 400 turbohaler	pulmicort 400 turbohaler	NA	AMP	35912711000001106	R03BA02	inhalation powder	inhalation	budesonide	400.000microgram/1.000dose	ics
1145341000033116	3113111000001106	0302000K0BBAKAK	NA	pulmicort 100 turbohaler (astrazeneca uk ltd)	pulmicort 100 turbohaler (astrazeneca uk ltd)	pulmicort 100 turbohaler	pulmicort 100 turbohaler	NA	AMP	35912111000001105	R03BA02	inhalation powder	inhalation	budesonide	100.000microgram/1.000dose	ics
11507841000033115	32611811000001105	0603020T0AAATAT	NA	prednisolone 1mg gastro-resistant tablets	prednisolone 1mg gastro-resistant tablets	prednisolone 1mg gastro-resistant tablets	prednisolone 1mg gastro-resistant tablets	NA	VMP	32611811000001105	H02AB06	gastro-resistant tablet	oral	prednisolone	1.000mg	ocs
11664841000033116	32781411000001102	0603020T0AABNBN	NA	prednisolone 30mg tablets	prednisolone 30mg tablets	prednisolone 30mg tablets	prednisolone 30mg tablets	NA	VMP	32781411000001102	H02AB06	tablet	oral	prednisolone	30.000mg	ocs
11707241000033115	32960711000001105	0302000K0AABBBB	NA	budesonide 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free	budesonide 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free	budesonide 200microg / formoterol 6microg/dose inh cfc free	budesonide 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free	NA	VMP	32960711000001105	R03AK07	pressurised inhalation	inhalation	budesonide/ formoterol fumarate dihydrate	200.000microgram/1.000dose + 6.000microgram/1.000dose	laba-ics
11707341000033113	32926011000001100	0302000K0BDADBB	NA	symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (astrazeneca uk ltd)	symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (astrazeneca uk ltd)	symbicort 200microg/dose / 6microg/dose pressurised inh	symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler	NA	AMP	32960711000001105	R03AK07	pressurised inhalation	inhalation	budesonide/ formoterol fumarate dihydrate	200.000microgram/1.000dose + 6.000microgram/1.000dose	laba-ics
11782841000033117	33561211000001109	0301011U0BGAAAH	NA	soltel 25micrograms/dose inhaler cfc free (cipla eu ltd)	soltel 25micrograms/dose inhaler cfc free (cipla eu ltd)	soltel 25micrograms/dose inhaler cfc free	soltel 25micrograms/dose inhaler cfc free	NA	AMP	10075611000001101	R03AC12	pressurised inhalation	inhalation	salmeterol xinafoate	25.000microgram/1.000dose	laba
11788941000033110	33596311000001107	0301020Q0AAADAD	NA	tiotropium bromide 10microgram inhalation powder capsules with device	tiotropium bromide 10microgram inhalation powder capsules with device	tiotropium bromide 10microgram inhalation pdr caps with dev	tiotropium bromide 10microgram inhalation powder capsules with device	NA	VMP	33596311000001107	R03BB04	inhalation powder	inhalation	tiotropium bromide	10.000microgram	lama
11789041000033118	33594911000001100	0301020Q0BCAAAD	NA	braltus 10microgram inhalation powder capsules with zonda inhaler (teva uk ltd)	braltus 10microgram inhalation powder capsules with zonda inhaler (teva uk ltd)	braltus 10microgram inhalation pdr caps with zonda inhaler	braltus 10microgram inhalation powder capsules with zonda inhaler	NA	AMP	33596311000001107	R03BB04	inhalation powder	inhalation	tiotropium bromide	10.000microgram	lama
11809941000033116	33656011000001109	0501050B0BHAAAE	NA	xetinin xl 500mg tablets (morningside healthcare ltd)	xetinin xl 500mg tablets (morningside healthcare ltd)	xetinin xl 500mg tablets	xetinin xl 500mg tablets	NA	AMP	36142611000001107	J01FA09	modified-release tablet	oral	clarithromycin	500.000mg	abx
1183741000033110	235411000001103	0501050C0BIAAAB	NA	rommix 250 ec tablets (ashbourne pharmaceuticals ltd)	rommix 250 ec tablets (ashbourne pharmaceuticals ltd)	rommix 250 ec tablets	rommix 250 ec tablets	NA	AMP	324178009	J01FA01	gastro-resistant tablet	oral	erythromycin	250.000mg	abx
11899741000033117	33679711000001103	0302000N0BHAAAZ	NA	aerivio spiromax 50micrograms/dose / 500micrograms/dose dry powder inhaler (teva uk ltd)	aerivio spiromax 50micrograms/dose / 500micrograms/dose dry powder inhaler (teva uk ltd)	aerivio spiromax 50microg / 500microg/dose dry pdr inh	aerivio spiromax 50micrograms/dose / 500micrograms/dose dry powder inhaler	NA	AMP	38897411000001103	R03AK06	inhalation powder	inhalation	fluticasone propionate/ salmeterol xinafoate	500.000microgram/1.000dose + 50.000microgram/1.000dose	laba-ics
12046641000033114	34023611000001101	0302000N0BIAABF	NA	sereflo 25micrograms/dose / 125micrograms/dose inhaler (cipla eu ltd)	sereflo 25micrograms/dose / 125micrograms/dose inhaler (cipla eu ltd)	sereflo 25micrograms/dose / 125micrograms/dose inhaler	sereflo 25micrograms/dose / 125micrograms/dose inhaler	NA	AMP	39111111000001109	R03AK06	pressurised inhalation	inhalation	fluticasone propionate/ salmeterol xinafoate	125.000microgram/1.000dose + 25.000microgram/1.000dose	laba-ics
12046741000033117	34023811000001102	0302000N0BIABBG	NA	sereflo 25micrograms/dose / 250micrograms/dose inhaler (cipla eu ltd)	sereflo 25micrograms/dose / 250micrograms/dose inhaler (cipla eu ltd)	sereflo 25micrograms/dose / 250micrograms/dose inhaler	sereflo 25micrograms/dose / 250micrograms/dose inhaler	NA	AMP	39111311000001106	R03AK06	pressurised inhalation	inhalation	fluticasone propionate/ salmeterol xinafoate	250.000microgram/1.000dose + 25.000microgram/1.000dose	laba-ics
1205941000033113	NA	NA	NA	salmeterol xinafoate accuhaler 50 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba
1206041000033115	NA	NA	NA	salbutamol accuhaler 200 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1206241000033111	NA	NA	NA	salbutamol aerosol inhalation 100 micrograms/metered inhalation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1206341000033118	39110811000001105	0301011U0AAACAC	NA	salmeterol 25micrograms/dose inhaler	salmeterol 25micrograms/dose inhaler	salmeterol 25micrograms/dose inhaler	salmeterol 25micrograms/dose inhaler	NA	VMP	39110811000001105	R03AC12	pressurised inhalation	inhalation	salmeterol xinafoate	25.000microgram/1.000dose	laba
1207741000033115	NA	NA	NA	salbutamol autohaler 100 micrograms/puff	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
121641000033112	3180211000001107	0302000C0BBAAAC	NA	becloforte 250micrograms/dose inhaler (glaxosmithkline uk ltd)	becloforte 250micrograms/dose inhaler (glaxosmithkline uk ltd)	becloforte 250micrograms/dose inhaler	becloforte 250micrograms/dose inhaler	NA	AMP	35908811000001103	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	250.000microgram/1.000dose	ics
12197841000033113	34215311000001107	0302000N0BGABBF	NA	airflusal 25micrograms/dose / 125micrograms/dose inhaler (sandoz ltd)	airflusal 25micrograms/dose / 125micrograms/dose inhaler (sandoz ltd)	airflusal 25micrograms/dose / 125micrograms/dose inhaler	airflusal 25micrograms/dose / 125micrograms/dose inhaler	NA	AMP	39111111000001109	R03AK06	pressurised inhalation	inhalation	fluticasone propionate/ salmeterol xinafoate	125.000microgram/1.000dose + 25.000microgram/1.000dose	laba-ics
12197941000033117	34215511000001101	0302000N0BGACBG	NA	airflusal 25micrograms/dose / 250micrograms/dose inhaler (sandoz ltd)	airflusal 25micrograms/dose / 250micrograms/dose inhaler (sandoz ltd)	airflusal 25micrograms/dose / 250micrograms/dose inhaler	airflusal 25micrograms/dose / 250micrograms/dose inhaler	NA	AMP	39111311000001106	R03AK06	pressurised inhalation	inhalation	fluticasone propionate/ salmeterol xinafoate	250.000microgram/1.000dose + 25.000microgram/1.000dose	laba-ics
1221341000033118	NA	NA	NA	salamol easi-breathe breath-actuated inhaler 100 micrograms/puff	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1221441000033112	35936411000001109	0301011R0AAADAD	NA	salbutamol 100micrograms/dose breath actuated inhaler	salbutamol 100micrograms/dose breath actuated inhaler	salbutamol 100micrograms/dose breath actuated inhaler	salbutamol 100micrograms/dose breath actuated inhaler	NA	VMP	35936411000001109	R03AC02	pressurised inhalation	inhalation	salbutamol sulfate	100.000microgram/1.000dose	saba
1221541000033113	NA	NA	NA	salbutamol breath-actuated inhaler 95 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1222341000033110	39113611000001102	0301011R0AAAPAP	NA	salbutamol 100micrograms/dose inhaler cfc free	salbutamol 100micrograms/dose inhaler cfc free	salbutamol 100micrograms/dose inhaler cfc free	salbutamol 100micrograms/dose inhaler cfc free	NA	VMP	39113611000001102	R03AC02	pressurised inhalation	inhalation	salbutamol sulfate	100.000microgram/1.000dose	saba
1228341000033112	NA	NA	NA	salbutamol cyclocaps 200 micrograms	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1228441000033118	NA	NA	NA	salbutamol cyclocaps 400 micrograms	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1228741000033113	NA	NA	NA	salmeterol xinafoate disks with diskhaler 50 micrograms/blister	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laba
1228841000033115	35936711000001103	0301011R0AAAIAI	NA	salbutamol 200microgram inhalation powder blisters with device	salbutamol 200microgram inhalation powder blisters with device	salbutamol 200microgram inhalation pdr blist with device	salbutamol 200microgram inhalation powder blisters with device	NA	VMP	35936711000001103	R03AC02	inhalation powder	inhalation	salbutamol sulfate	200.000microgram	saba
1228941000033111	35936911000001101	0301011R0AAAJAJ	NA	salbutamol 400microgram inhalation powder blisters with device	salbutamol 400microgram inhalation powder blisters with device	salbutamol 400microgram inhalation pdr blist with device	salbutamol 400microgram inhalation powder blisters with device	NA	VMP	35936911000001101	R03AC02	inhalation powder	inhalation	salbutamol sulfate	400.000microgram	saba
123241000033110	3181711000001108	0302000C0BFAEAT	c61O.	beclazone 100 easi-breathe inhaler (teva uk ltd)	beclazone 100 easi-breathe inhaler (teva uk ltd)	beclazone 100 easi-breathe inhaler	beclazone 100 easi-breathe inhaler	beclazone 100 easi-breathe inhaler	AMP	35907811000001102	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	100.000microgram/1.000dose	ics
123341000033117	3604611000001104	0302000C0BFADAS	c61N.	beclazone 50 easi-breathe inhaler (teva uk ltd)	beclazone 50 easi-breathe inhaler (teva uk ltd)	beclazone 50 easi-breathe inhaler	beclazone 50 easi-breathe inhaler	beclazone 50 easi-breathe inhaler	AMP	35909211000001109	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	50.000microgram/1.000dose	ics
123441000033111	3182611000001105	0302000C0BFAFAU	c61P.	beclazone 250 easi-breathe inhaler (teva uk ltd)	beclazone 250 easi-breathe inhaler (teva uk ltd)	beclazone 250 easi-breathe inhaler	beclazone 250 easi-breathe inhaler	beclazone 250 easi-breathe inhaler	AMP	35908611000001102	R03BA01	pressurised inhalation	inhalation	beclometasone dipropionate	250.000microgram/1.000dose	ics
12364641000033110	34681611000001100	0301011ABBBAAA0	NA	trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (chiesi ltd)	trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (chiesi ltd)	trimbow 87microg/dose / 5microg/dose / 9microg/dose inh	trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler	NA	AMP	34683311000001106	R03AL09	pressurised inhalation	inhalation	beclometasone dipropionate/ formoterol fumarate dihydrate/ glycopyrronium bromide	87.000microgram/1.000dose + 5.000microgram/1.000dose + 9.000microgram/1.000dose	triple
12370841000033110	34677011000001107	0302000N0BJAABF	NA	aloflute 25micrograms/dose / 125micrograms/dose inhaler (mylan)	aloflute 25micrograms/dose / 125micrograms/dose inhaler (viatris uk healthcare ltd)	aloflute 25micrograms/dose / 125micrograms/dose inhaler	aloflute 25micrograms/dose / 125micrograms/dose inhaler	NA	AMP	39111111000001109	R03AK06	pressurised inhalation	inhalation	fluticasone propionate/ salmeterol xinafoate	125.000microgram/1.000dose + 25.000microgram/1.000dose	laba-ics
12370941000033119	34675711000001103	0302000N0BJABBG	NA	aloflute 25micrograms/dose / 250micrograms/dose inhaler (mylan)	aloflute 25micrograms/dose / 250micrograms/dose inhaler (viatris uk healthcare ltd)	aloflute 25micrograms/dose / 250micrograms/dose inhaler	aloflute 25micrograms/dose / 250micrograms/dose inhaler	NA	AMP	39111311000001106	R03AK06	pressurised inhalation	inhalation	fluticasone propionate/ salmeterol xinafoate	250.000microgram/1.000dose + 25.000microgram/1.000dose	laba-ics
12395841000033112	370375008	0501021C0AAACAC	NA	cefixime 400mg tablets	cefixime 400mg tablets	cefixime 400mg tablets	cefixime 400mg tablets	NA	VMP	370375008	J01DD08	tablet	oral	cefixime	400.000mg	abx
12403741000033110	34812111000001106	0302000K0BIAAAU	NA	fobumix easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	fobumix easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (orion pharma (uk) ltd)	fobumix easyhaler 320microg/dose / 9microg/dose dry pdr inh	fobumix easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler	NA	AMP	4378111000001103	R03AK07	inhalation powder	inhalation	budesonide/ formoterol fumarate dihydrate	400.000microgram/1.000dose + 12.000microgram/1.000dose	laba-ics
1241241000033114	NA	NA	NA	salamol inhaler 100 micrograms/puff	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
1241341000033116	840111000001107	0301011R0BDAEAP	NA	salbulin 100micrograms/dose inhaler (3m health care ltd)	salbulin 100micrograms/dose inhaler (3m health care ltd)	salbulin 100micrograms/dose inhaler	salbulin 100micrograms/dose inhaler	NA	AMP	39113611000001102	R03AC02	pressurised inhalation	inhalation	salbutamol sulfate	100.000microgram/1.000dose	saba
1241441000033110	35936511000001108	0301011R0AAAAAA	NA	salbutamol 100micrograms/dose inhaler	salbutamol 100micrograms/dose inhaler	salbutamol 100micrograms/dose inhaler	salbutamol 100micrograms/dose inhaler	NA	VMP	35936511000001108	R03AC02	pressurised inhalation	inhalation	salbutamol	100.000microgram/1.000dose	saba
1241941000033117	NA	NA	NA	salbutamol inhaler with vortex generating actuator 100 micrograms/dose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	saba
12430241000033117	34954811000001109	0301020I0BIAAAN	NA	inhalvent 20micrograms/dose inhaler (alissa healthcare research ltd)	inhalvent 20micrograms/dose inhaler (alissa healthcare research ltd)	inhalvent 20micrograms/dose inhaler	inhalvent 20micrograms/dose inhaler	NA	AMP	38894511000001107	R03BB01	pressurised inhalation	inhalation	ipratropium bromide	20.000microgram/1.000dose	sama
