medcodeid	medcode	snomedctconceptid	snomedctdescriptionid	readcode	emiscodecategoryid	term	smoking_status	ever_smoker
503483019	10558	77176002	503483019	137R.00	17	current smoker	2	1
649841000006110	90	8517006	15047015	137S.00	17	ex-smoker	1	1
250385010	12878	160625004	250385010	137T.00	17	date ceased smoking	1	1
216212011	12966	134406006	216212011	137V.00	17	smoking reduced	2	1
344793011	12965	230056004	344793011	137X.00	17	cigarette consumption	2	1
344794017	12963	230057008	344794017	137Y.00	17	cigar consumption	2	1
250387019	12960	266918002	397730015	137Z.00	17	tobacco consumption nos	2	1
344795016	12967	230058003	344795016	137a.00	17	pipe tobacco consumption	2	1
1488577017	31114	394872000	1488577017	137b.00	17	ready to stop smoking	2	1
1488576014	30423	394871007	1488576014	137c.00	17	thinking about stopping smoking	2	1
1488578010	30762	394873005	1488578010	137d.00	17	not interested in stopping smoking	2	1
2670126018	41979	308438006	2670126018	137e.00	17	smoking restarted	2	1
1780360012	46321	401159003	1780360012	137f.00	17	reason for restarting smoking	2	1
2474719011	62686	413173009	2474719011	137h.00	17	minutes from waking to first tobacco consumption	2	1
418914010	97210	281018007	418914010	137j.00	17	ex-cigarette smoker	1	1
1059701000000119	100495	492191000000103	1059701000000119	137l.00	17	ex roll-up cigarette smoker	1	1
1592611000000110	101338	446172000	2882460017	137m.00	17	failed attempt to stop smoking	2	1
1488873010	10898	395177003	1488873010	13p4.00	17	smoking free weeks	1	1
459722017	10742	315232003	459722017	8HTK.00	40	referral to stop-smoking clinic	2	1
1715591000006117	98154	505281000000106	1122921000000113	8HkQ.00	40	referral to national health service stop smoking service	2	1
1704561000006112	98284	375851000000108	739301000000115	9kf1.00	37	referred for chronic obstructive pulmonary disease structured smoking assessment	2	1
1704551000006110	103400	375851000000108	739301000000115	9kf1.11	37	referred for copd structured smoking assessment	2	1
1704571000006117	98283	375911000000102	739421000000116	9kf2.00	37	chronic obstructive pulmonary disease structured smoking assessment declined	2	1
1704581000006119	103760	375911000000102	739421000000116	9kf2.11	37	copd structured smoking assessment declined	2	1
1123951000000110	98447	505761000000105	1154471000000114	9km..00	37	ex-smoker annual review - enhanced services administration	1	1
1154471000000114	100963	505761000000105	1154471000000114	9km..11	37	ex-smoker annual review	1	1
1123751000000113	98177	505681000000109	1154431000000112	9kn..00	37	non-smoker annual review - enhanced services administration	0	0
1154431000000112	101878	505681000000109	1154431000000112	9kn..11	37	non-smoker annual review	0	0
1714541000006110	98347	505651000000103	1152111000000118	9ko..00	37	current smoker annual review - enhanced services admin	2	1
1152111000000118	104310	505651000000103	1152111000000118	9ko..11	37	current smoker annual review	2	1
150398019	6359	90755006	150398019	E023.00	32	nicotine withdrawal	1	1
102951000006115	32687	89765005	2951656017	E251.00	32	tobacco dependence	2	1
295256013	95610	89765005	148820017	E251000	32	tobacco dependence, unspecified	2	1
295257016	70746	191887008	295257016	E251100	32	tobacco dependence, continuous	2	1
295258014	108835	191888003	295258014	E251200	32	tobacco dependence, episodic	2	1
295259018	72706	191889006	295259018	E251300	32	tobacco dependence in remission	1	1
295260011	68658	89765005	2951656017	E251z00	32	tobacco dependence nos	2	1
295951010	61905	30310000	50736017	Eu17.00	32	nicotine-induced organic mental disorder	2	1
397911000006114	56144	724697004	3445165019	Eu17100	32	[x]mental and behavioural disorders due to use of tobacco: harmful use	2	1
397981000006119	107792	30310000	50736017	Eu17200	32	[x]mental and behav dis due to use tobacco: dependence syndr	2	1
78013015	16717	46802002	78013015	H310100	32	smokers' cough	2	1
324597019	43433	212899006	324597019	SMC..00	32	toxic effect of tobacco and nicotine	2	1
298701000000114	72700	8517006	15047015	ZV11600	17	history of tobacco use	1	1
460828018	12954	110483000	175325014	ZV4K000	32	tobacco user	2	1
461114016	35055	711028002	3047058010	ZV6D800	32	counselling about tobacco use	2	1
