medcodeid	snomedctconceptid	snomedctdescriptionid	readcode	term	incident	prevalent	broad_ipf	narrow_ipf	treatment_ild	exposure_ild	autoimmune_ild	other
3593721000006116	67242002	111726015	NA	bagasse workers' lung	1	1	0	0	0	1	0	0
111723011	67242002	111723011	H351.00	bagassosis	1	1	0	0	0	1	0	0
3103651000006112	37471005	3452511014	NA	bagpipe lung	1	1	0	0	0	1	0	0
2732831000006119	14700006	24980016	NA	bauxite fibrosis	1	1	0	0	0	1	0	0
24973018	14700006	24975013	H431.00	bauxite fibrosis of lung	1	1	0	0	0	1	0	0
2732761000006118	14700006	24973018	NA	bauxite fibrosis of lung	1	1	0	0	0	1	0	0
2732771000006113	14700006	24974012	NA	bauxite fume pneumoconiosis	1	1	0	0	0	1	0	0
2732811000006113	14700006	24978010	NA	bauxite lung	1	1	0	0	0	1	0	0
2732781000006111	14700006	24975013	NA	bauxite pneumoconiosis	1	1	0	0	0	1	0	0
2732821000006117	14700006	24979019	NA	bauxite pulmonary fibrosis	1	1	0	0	0	1	0	0
2732791000006114	14700006	24976014	NA	bauxite workers' disease	1	1	0	0	0	1	0	0
14610012	8247009	14610012	H432.00	berylliosis	1	1	0	0	0	1	0	0
2631591000006117	8247009	14611011	NA	beryllium disease	1	1	0	0	0	1	0	0
3627711000006118	69339004	1233153015	NA	bfl - bird fanciers lung	1	1	0	0	0	1	0	0
3627691000006116	69339004	115190015	NA	bird breeders' disease	1	1	0	0	0	1	0	0
3627661000006112	69339004	115187014	NA	bird breeders' lung	1	1	0	0	0	1	0	0
3627671000006117	69339004	115188016	NA	bird fanciers' disease	1	1	0	0	0	1	0	0
3627721000006114	69339004	3035336017	NA	bird fanciers lung	1	1	0	0	0	1	0	0
3627731000006112	69339004	3035486010	NA	bird fanciers' lung	1	1	0	0	0	1	0	0
1233152013	69339004	1233152013	H352.00	bird-fancier's lung	1	1	0	0	0	1	0	0
301527019	69339004	115185018	H352z00	bird-fancier's lung nos	1	1	0	0	0	1	0	0
1591221000006115	110985001	175898010	B76C.00	birt hogg dube syndrome	1	1	0	0	0	0	0	1
4189151000006118	110985001	175899019	NA	birt-hogg-dube syndrome	1	1	0	0	0	0	0	1
4189171000006111	110985001	1219579018	NA	birt-hogg-dube syndrome	1	1	0	0	0	0	0	1
2973071000006112	29422001	49234015	NA	black lung disease	1	1	0	0	0	1	0	0
11778011000006118	719218000	3525383017	NA	boop - bronchiolitis obliterans organising pneumonia	1	1	0	0	0	0	0	1
11778031000006112	719218000	3525382010	NA	boop - bronchiolitis obliterans organizing pneumonia	1	1	0	0	0	0	0	1
11828571000006115	40100001	3636165018	NA	bronchiolitis fibrosa obliterans	1	1	0	0	0	0	0	1
492443010	40100001	492443010	H312300	bronchiolitis obliterans	1	1	0	0	0	0	0	1
474828010	719218000	3525380019	H564.00	bronchiolitis obliterans organising pneumonia	1	1	0	0	0	0	0	1
11777991000006114	719218000	3525379017	NA	bronchiolitis obliterans organizing pneumonia	1	1	0	0	0	0	0	1
8258171000006110	805261000000101	1800191000000114	NA	bronchiolitis obliterans syndrome after lung transplantation	1	1	0	0	0	0	0	1
11778021000006114	719218000	3525381015	NA	bronchiolitis obliterans with usual interstitial pneumonitis	1	1	0	0	0	0	0	1
4426671000006115	129451001	3036355014	NA	bronchiolitis with interstitial lung disease	1	1	0	0	0	0	0	1
4781721000006118	196019004	3294023018	NA	bronchitis and pneumonitis caused by chemical fumes	1	1	0	0	0	1	0	0
301565014	196019004	301565014	H460.00	bronchitis and pneumonitis due to chemical fumes	1	1	0	0	0	1	0	0
301568011	196019004	301565014	H460z00	bronchitis and pneumonitis due to chemical fumes nos	1	1	0	0	0	1	0	0
2692511000006111	12088005	20834011	NA	budgerigar-breeders' lung	1	1	0	0	0	1	0	0
2692491000006117	12088005	20832010	NA	budgerigar-fanciers' disease	1	1	0	0	0	1	0	0
20833017	12088005	20833017	H352000	budgerigar-fanciers' lung	1	1	0	0	0	1	0	0
142162019	85761009	142162019	H440.00	byssinosis	1	1	0	0	0	1	0	0
130626012	78723001	130626012	H441.00	cannabinosis	1	1	0	0	0	1	0	0
6608791000006111	398640008	1786506012	NA	caplans syndrome	1	1	0	0	0	0	1	0
1786505011	398640008	1786506012	N04y011	caplan's syndrome	1	1	0	0	0	0	1	0
6608781000006113	398640008	1786505011	NA	caplan's syndrome	1	1	0	0	0	0	1	0
1773271000006114	1773271000006105	1773271000006114	NA	cellular nonspecific interstitial pneumonia	1	1	0	0	0	0	0	1
6703871000006119	404807005	2162818011	NA	cheese-washers' disease	1	1	0	0	0	1	0	0
2156690018	404807005	2156690018	H35y000	cheese-washers' lung	1	1	0	0	0	1	0	0
6703861000006114	404807005	2162817018	NA	cheese-workers' lung	1	1	0	0	0	1	0	0
4781841000006118	196027008	301574011	NA	chemical bronchiolitis obliterans	1	1	0	0	0	0	0	1
301613016	196053000	301613016	H4y2100	chronic drug-induced interstitial lung disorders	1	1	0	0	1	0	0	0
4781861000006119	196028003	3296238013	NA	chronic pulmonary fibrosis caused by chemical fumes	1	1	0	0	0	1	0	0
301575012	196028003	301575012	H464200	chronic pulmonary fibrosis due to chemical fumes	1	1	0	0	0	1	0	0
556271000006115	71193007	1233362012	H4y1000	chronic pulmonary fibrosis following radiation	1	1	0	0	1	0	0	0
301609011	196049002	301609011	H4y1.00	chronic pulmonary radiation disease	1	1	0	0	1	0	0	0
301610018	196049002	301609011	H4y1z00	chronic pulmonary radiation disease nos	1	1	0	0	1	0	0	0
3042581000006110	33719002	485613012	NA	chronic rheumatoid nodular fibrosis	1	1	0	0	0	0	1	0
2973121000006112	29422001	49239013	NA	coal miners' lung	1	1	0	0	0	1	0	0
2973131000006110	29422001	49240010	NA	coal miners' pneumoconiosis	1	1	0	0	0	1	0	0
2973011000006115	29422001	49228010	NA	coal pneumoconiosis	1	1	0	0	0	1	0	0
2973081000006110	29422001	49235019	NA	coal workers' lung	1	1	0	0	0	1	0	0
2973161000006118	29422001	1226357013	NA	coal worker's lung	1	1	0	0	0	1	0	0
49227017	29422001	49227017	H40..00	coal workers' pneumoconiosis	1	1	0	0	0	1	0	0
885331000006110	29422001	885331000006110	H40..99	coalworker's pneumoconiosis	1	1	0	0	0	1	0	0
2763571000006117	16623004	3036530019	NA	coffee workers disease	1	1	0	0	0	1	0	0
2763561000006112	16623004	28129011	NA	coffee-workers' disease	1	1	0	0	0	1	0	0
28128015	16623004	28128015	H35y100	coffee-workers' lung	1	1	0	0	0	1	0	0
2973031000006114	29422001	49230012	NA	colliers' anthracosis	1	1	0	0	0	1	0	0
2973021000006111	29422001	49229019	NA	colliers' lung	1	1	0	0	0	1	0	0
5055241000006116	233749003	350254019	NA	complicated pneumoconiosis	1	1	0	0	0	1	0	0
83019014	49840000	83019014	H422.00	complicated silicosis	1	1	0	0	0	1	0	0
7783511000006114	719218000	3315465019	NA	cop - cryptogenic organising pneumonitis	1	1	0	0	0	0	0	1
7783521000006118	719218000	3315466018	NA	cop - cryptogenic organizing pneumonitis	1	1	0	0	0	0	0	1
2712181000006118	13394002	22893014	NA	cork-handlers' disease	1	1	0	0	0	1	0	0
2712191000006115	13394002	22894015	NA	cork-handlers' lung	1	1	0	0	0	1	0	0
2732801000006110	14700006	24977017	NA	corundum smelters' lung	1	1	0	0	0	1	0	0
952981000006118	952981000006102	952981000006118	NA	coshh: asbestos	1	1	0	0	0	1	0	0
196654011	700250006	2989718018	H563.12	cryptogenic fibrosing alveolitis	1	1	1	1	0	0	0	0
474819014	719218000	3315464015	H564.11	cryptogenic organising pneumonia	1	1	0	0	0	0	0	1
7783501000006111	719218000	3315463014	NA	cryptogenic organizing pneumonia	1	1	0	0	0	0	0	1
2973151000006115	29422001	1226356016	NA	cwp - coalworkers pneumoconiosis	1	1	0	0	0	1	0	0
1772931000006114	8549006	15098014	NA	desquamative interstitial pneumonia	1	1	0	0	0	0	0	1
2636471000006112	8549006	15099018	NA	desquamative interstitial pneumonitis	1	1	0	0	0	0	0	1
2670341000006112	10713006	18610015	NA	diffuse interstitial rheumatoid disease of lung	1	1	0	0	0	0	1	0
5054601000006119	233703007	3037993016	NA	diffuse parenchymal lung disease	1	1	1	0	0	0	0	0
621121000006112	196125002	301706014	H563100	diffuse pulmonary fibrosis	1	1	1	0	0	0	0	0
2636481000006110	8549006	1235039016	NA	dip - desquamative interstitial pneumonitis	1	1	0	0	0	0	0	1
4782331000006111	196125002	301707017	NA	dipf - diffuse interstitial pulmonary fibrosis	1	1	1	0	0	0	0	0
2775271000006114	17346000	29326018	NA	disorder of islets of langerhans	1	1	0	0	0	0	0	1
4782071000006110	196051003	3035674015	NA	drug induced ild	1	1	0	0	1	0	0	0
4782071000006111	196051003	3035674015	NA	drug induced interstitial lung disease	1	1	0	0	1	0	0	0
4782051000006118	196051003	3037337010	NA	drug-induced interstitial lung disorder	1	1	0	0	1	0	0	0
301611019	196051003	301611019	H4y2.00	drug-induced interstitial lung disorders	1	1	0	0	1	0	0	0
3103641000006110	37471005	486725010	NA	eaa - extrinsic allergic alveolitis	1	1	0	0	0	1	0	0
11878911000006115	82275008	3521932019	NA	egpa - eosinophilic granulomatosis with polyangiitis	1	1	0	0	0	0	1	0
71209014	42680007	71209014	H56y000	endogenous lipoid pneumonia	1	1	0	0	0	0	0	1
11878901000006118	82275008	3521929017	NA	eosinophilic granulomatosis with polyangiitis	1	1	0	0	0	0	1	0
3838311000006114	82275008	2507011000000119	NA	eosinophilic granulomatosis with polyangiitis	1	1	0	0	0	0	1	0
3556371000006119	64936001	499989013	NA	ep - acute eosinophilic pneumonia	1	1	0	0	0	0	0	1
178500017	37471005	178500017	H35..00	extrinsic allergic alveolitis	1	1	0	0	0	1	0	0
3103581000006115	37471005	189212017	NA	extrinsic allergic bronchiolo-alveolitis	1	1	0	0	0	1	0	0
2796661000006115	18690003	3035680011	NA	farmers lung	1	1	0	0	0	1	0	0
31510012	18690003	31510012	H350.00	farmers' lung	1	1	0	0	0	1	0	0
2796611000006118	18690003	31511011	NA	farmers' lung disease	1	1	0	0	0	1	0	0
293530017	190905008	293530017	C370.11	fibrocystic disease	1	1	0	0	0	0	0	1
4782341000006118	196125002	301708010	NA	fibrosing alveolitis	1	1	1	0	0	0	0	0
311496011	10713006	311496011	N04y012	fibrosing alveolitis associated with rheumatoid arthritis	1	1	0	0	0	0	1	0
3336391000006117	51615001	85957013	NA	fibrosis of lung	1	1	1	0	0	0	0	0
3657901000006117	71193007	118220019	NA	fibrosis of lung following radiation	1	1	0	0	1	0	0	0
502519018	73725006	502519018	H51y600	fibrothorax	1	1	0	0	0	0	0	1
1773261000006119	1773261000006103	1773261000006119	NA	fibrotic nonspecific interstitial pneumonia	1	1	0	0	0	0	0	1
121968010	73448002	121968010	H35y200	fish-meal workers' lung	1	1	0	0	0	1	0	0
22508019	13151001	22508019	H442.00	flax-dressers' disease	1	1	0	0	0	1	0	0
113506011	68333005	113506011	H35y300	furriers' lung	1	1	0	0	0	1	0	0
32511014	19274004	32511014	H35y400	grain-handlers' disease	1	1	0	0	0	1	0	0
2955624019	195353004	2955624019	G754.11	granulomatosis with polyangiitis	1	1	0	0	0	0	1	0
2776031000006110	17385007	29399017	NA	graphite fibrosis	1	1	0	0	0	1	0	0
2775991000006115	17385007	29395011	NA	graphite fibrosis of lung	1	1	0	0	0	1	0	0
29395011	17385007	29397015	H433.00	graphite fibrosis of lung	1	1	0	0	0	1	0	0
2776021000006112	17385007	29398013	NA	graphite lung disease	1	1	0	0	0	1	0	0
2776011000006116	17385007	29397015	NA	graphite pneumoconiosis	1	1	0	0	0	1	0	0
2776001000006119	17385007	29396012	NA	graphitosis	1	1	0	0	0	1	0	0
815341000006115	236302005	2579204016	H563.11	hamman - rich syndrome	1	1	1	0	0	0	0	0
3282231000006110	48347002	80554013	NA	humidifier and/or air conditioning pneumonitis	1	1	0	0	0	1	0	0
3282201000006119	48347002	80550016	NA	humidifier lung	1	1	0	0	0	1	0	0
3103591000006117	37471005	189213010	NA	hypersensitivity pneumonia	1	1	0	0	0	1	0	0
189221016	37471005	189221016	H35..11	hypersensitivity pneumonitis	1	1	0	0	0	1	0	0
301534017	37471005	189221016	H35z100	hypersensitivity pneumonitis nos	1	1	0	0	0	1	0	0
885481000006119	45157009	885481000006119	H563.99	idiopath. fibrosing alveolitis	1	1	1	1	0	0	0	0
12757781000006113	45157009	75302014	NA	idiopathic fibrosing alveolitis	1	1	1	1	0	0	0	0
75302014	700250006	2989716019	H563.00	idiopathic fibrosing alveolitis	1	1	1	1	0	0	0	0
301709019	700250006	2989716019	H563z00	idiopathic fibrosing alveolitis nos	1	1	1	1	0	0	0	0
12716191000006115	45157009	197847012	NA	idiopathic interstitial pneumonia	1	1	1	0	0	0	0	0
3213231000006119	44274007	3047467017	NA	idiopathic lymphocytic interstitial pneumonia	1	1	0	0	0	0	0	1
1786131000006116	700250006	2989760019	H563.13	idiopathic pulmonary fibrosis	1	1	1	1	0	0	0	0
5054591000006110	233703007	350186017	NA	ild - interstitial lung disease	1	1	1	0	0	0	0	0
1759021000006116	1759021000006100	1759021000006116	NA	interstitial lung disease due to collagen vascular disease	1	1	0	0	0	0	1	0
2676188013	427123006	2676188013	H58y600	interstitial lung disease due to collagen vascular disease	1	1	0	0	0	0	1	0
1747711000000111	711379004	3078136017	H58y700	interstitial lung disease due to connective tissue disease	1	1	0	0	0	0	1	0
301758015	233703007	350185018	H58y300	interstitial lung disease nec	1	1	0	0	0	0	0	1
107470010	64667001	107470010	H56y100	interstitial pneumonia	1	1	1	0	0	0	0	0
3551861000006113	64667001	107472019	NA	interstitial pneumonitis	1	1	1	0	0	0	0	0
3764031000006119	77690003	3764031000006119	NA	interstitial pulmonary emphysema	1	1	0	0	0	0	0	1
3513801000006119	62371005	499258016	NA	iron pneumoconiosis	1	1	0	0	0	1	0	0
3556381000006116	64936001	2839477017	NA	loeffler syndrome	1	1	0	0	0	0	0	1
3556321000006115	64936001	107937014	NA	loeffler's syndrome	1	1	0	0	0	0	0	1
3213221000006117	44274007	493830012	NA	lip - lymphoid interstitial pneumonitis	1	1	0	0	0	0	0	1
499987010	64936001	499987010	H583000	loeffler's syndrome	1	1	0	0	0	0	0	1
3556341000006110	64936001	107939012	NA	loffler's syndrome	1	1	0	0	0	0	0	1
4782441000006114	196136009	3312134010	NA	lung disease co-occurrent with polymyositis	1	1	0	0	0	0	1	0
301719013	196136009	301719013	H57y100	lung disease with polymyositis	1	1	0	0	0	0	1	0
4782481000006115	196137000	2839020013	NA	lung disease with sjogren disease	1	1	0	0	0	0	1	0
4782461000006113	196137000	2642306010	NA	lung disease with sjogren's disease	1	1	0	0	0	0	1	0
301720019	196137000	301720019	H57y300	lung disease with sjogren's disease	1	1	0	0	0	0	1	0
301721015	196138005	301721015	H57y400	lung disease with systemic lupus erythematosus	1	1	0	0	0	0	1	0
301716018	196133001	301716018	H572.00	lung disease with systemic sclerosis	1	1	0	0	0	0	1	0
301714015	196131004	1543421000000117	H57..00	lung involvement in diseases ec	1	1	0	0	0	0	0	1
3553221000006116	64757003	107624013	NA	lymph node sarcoidosis	1	1	0	0	0	0	1	0
1566351000006110	1566351000006106	1566351000006110	NA	lymphangioleiomyomatosis	1	1	0	0	0	0	0	1
3687771000006118	73017001	200321012	NA	lymphangioleiomyomatosis	1	1	0	0	0	0	0	1
3213201000006110	44274007	73847019	NA	lymphocytic interstitial pneumonia	1	1	0	0	0	0	0	1
3213191000006112	44274007	73846011	NA	lymphoid interstitial pneumonia	1	1	0	0	0	0	0	1
1772941000006116	44274007	493829019	NA	lymphoid interstitial pneumonitis	1	1	0	0	0	0	0	1
2914541000006117	25897000	3035631018	NA	malt workers lung	1	1	0	0	0	1	0	0
1224939016	25897000	1224939016	H354.00	malt workers' lung	1	1	0	0	0	1	0	0
2914481000006112	25897000	43387013	NA	malt-workers' alveolitis	1	1	0	0	0	1	0	0
2914471000006114	25897000	43385017	NA	malt-workers' lung	1	1	0	0	0	1	0	0
2914491000006110	25897000	43388015	NA	malt-workers' lung disease	1	1	0	0	0	1	0	0
3908941000006113	86638007	3035325012	NA	maple bark strippers lung	1	1	0	0	0	1	0	0
1235159019	86638007	1235159019	H356.00	maple bark strippers' lung	1	1	0	0	0	1	0	0
3908911000006114	86638007	143690011	NA	maple-bark disease	1	1	0	0	0	1	0	0
3908921000006118	86638007	143691010	NA	maple-bark strippers' disease	1	1	0	0	0	1	0	0
3908891000006112	86638007	143688010	NA	maple-bark strippers' lung	1	1	0	0	0	1	0	0
3154161000006113	40640008	3451528014	NA	massive fibrosis of lung co-occurrent and due to silicosis	1	1	0	0	0	1	0	0
301555015	40640008	67787015	H423.00	massive silicotic fibrosis	1	1	0	0	0	1	0	0
3154151000006111	40640008	67787015	NA	massive silicotic fibrosis of lung	1	1	0	0	0	1	0	0
1495490013	86092005	1495490013	C370111	meconium ileus in cystic fibrosis	1	1	0	0	0	0	0	1
2973051000006119	29422001	49232016	NA	melanedema	1	1	0	0	0	1	0	0
2973141000006117	29422001	484290013	NA	melanoedema	1	1	0	0	0	1	0	0
2973091000006113	29422001	49236018	NA	miners' asthma	1	1	0	0	0	1	0	0
2973041000006116	29422001	49231011	NA	miners' lung	1	1	0	0	0	1	0	0
2796641000006119	18690003	1216072016	NA	mouldy hay disease	1	1	0	0	0	1	0	0
2796631000006112	18690003	478754019	NA	mouldy-hay disease	1	1	0	0	0	1	0	0
3348521000006114	52333004	87090010	NA	mushroom pickers' disease	1	1	0	0	0	1	0	0
3348531000006112	52333004	3035247014	NA	mushroom workers lung	1	1	0	0	0	1	0	0
87088014	52333004	87088014	H355.00	mushroom workers' lung	1	1	0	0	0	1	0	0
3348511000006118	52333004	87089018	NA	mushroom-workers' disease	1	1	0	0	0	1	0	0
1773251000006116	129452008	208202018	NA	nonspecific interstitial pneumonia	1	1	0	0	0	0	0	1
254002014	162974009	254002014	23E5.11	o/e - fibrosis of lung	1	1	1	0	0	0	0	0
254003016	162974009	254003016	23E5.00	o/e - fibrosis of lung present	1	1	1	0	0	0	0	0
3145231000006114	40100001	492442017	NA	ob - obliterative bronchiolitis	1	1	0	0	0	0	0	1
301127010	40100001	66804014	H061400	obliterating fibrous bronchiolitis	1	1	0	0	0	0	0	1
3145221000006111	40100001	66804014	NA	obliterative bronchiolitis	1	1	0	0	0	0	0	1
269761000006112	196027008	301573017	H464100	obliterative bronchiolitis due to chemical fumes	1	1	0	0	0	0	0	1
4555561000006111	162974009	2668607013	NA	on examination - fibrosis of lung present	1	1	1	0	0	0	0	0
301528012	37471005	178500017	H35y.00	other allergic alveolitis	1	1	0	0	0	1	0	0
301531013	37471005	178500017	H35yz00	other allergic alveolitis nos	1	1	0	0	0	1	0	0
3917011000006111	87153008	507439010	NA	pam - pulmonary alveolar microlithiasis	1	1	0	0	0	0	0	1
2667011000006118	10501004	1219089013	NA	pap - pulmonary alveolar proteinosis	1	1	0	0	0	0	0	1
3888321000006110	85407005	1235033015	NA	pigeon breeders' lung	1	1	0	0	0	1	0	0
3888311000006119	85407005	141568010	NA	pigeon-breeders' disease	1	1	0	0	0	1	0	0
3888301000006117	85407005	141567017	NA	pigeon-breeders' lung	1	1	0	0	0	1	0	0
3888281000006116	85407005	141565013	NA	pigeon-fanciers' disease	1	1	0	0	0	1	0	0
141566014	85407005	141566014	H352100	pigeon-fanciers' lung	1	1	0	0	0	1	0	0
301529016	195989002	301529016	H35y500	pituitary snuff-takers' disease	1	1	0	0	0	1	0	0
3145561000006115	40122008	1229606015	NA	pk - pneumoconiosis	1	1	0	0	0	1	0	0
350121013	233659006	350121013	H410.00	pleural plaque disease due to asbestosis	1	1	0	0	0	1	0	0
5055261000006117	233749003	350256017	NA	pmf - progressive massive fibrosis	1	1	0	0	0	1	0	0
219651000006116	40122008	66836019	H4...11	pneumoconioses	1	1	0	0	0	1	0	0
2785461000006110	17996008	3294165010	NA	pneumoconiosis caused by inorganic dust	1	1	0	0	0	1	0	0
2511271000006119	805002	3290968015	NA	pneumoconiosis caused by silica	1	1	0	0	0	1	0	0
3689771000006110	73144008	3293227015	NA	pneumoconiosis caused by talc	1	1	0	0	0	1	0	0
301558018	17996008	30386017	H43z.00	pneumoconiosis due to inorganic dust nos	1	1	0	0	0	1	0	0
301557011	17996008	30386017	H43..00	pneumoconiosis due to other inorganic dust	1	1	0	0	0	1	0	0
2511231000006117	805002	2408015	NA	pneumoconiosis due to silica	1	1	0	0	0	1	0	0
3689711000006118	73144008	121478017	NA	pneumoconiosis due to talc	1	1	0	0	0	1	0	0
301562012	40122008	66836019	H45..00	pneumoconiosis nos	1	1	0	0	0	1	0	0
3513771000006116	62371005	103671018	NA	pneumoconiosis siderotico	1	1	0	0	0	1	0	0
2973111000006116	29422001	49238017	NA	pneumomelanosis	1	1	0	0	0	1	0	0
301559014	74015002	122905012	H44..00	pneumopathy due to inhalation of other dust	1	1	0	0	0	1	0	0
301561017	74015002	122905012	H44z.00	pneumopathy due to inhalation of other dust nos	1	1	0	0	0	1	0	0
4782451000006111	196136009	3312135011	NA	polymyositis with pulmonary involvement	1	1	0	0	0	0	1	0
211391000006118	266368002	396123011	H55..00	postinflammatory pulmonary fibrosis	1	1	0	0	0	0	0	1
1711491000006119	1711491000006103	1711491000006119	NA	post-transplant bronchiolitis obliterans syndrome	1	1	0	0	0	0	0	1
1800881000000119	805261000000101	1800881000000119	SP08B00	post-transplant bronchiolitis obliterans syndrome	1	1	0	0	0	0	0	1
207831000006116	90610005	150170014	Q317100	prematurity with interstitial pulmonary fibrosis	1	1	0	0	0	0	0	1
350255018	233749003	350255018	H48..00	progressive massive fibrosis	1	1	0	0	0	1	0	0
144521016	87153008	144521016	H562.00	pulmonary alveolar microlithiasis	1	1	0	0	0	0	0	1
18259012	10501004	18259012	H560.00	pulmonary alveolar proteinosis	1	1	0	0	0	0	0	1
301718017	196135008	301718017	H57y000	pulmonary amyloidosis	1	1	0	0	0	0	0	1
2860351000006113	22607003	1222818011	NA	pulmonary asbestosis	1	1	0	0	0	1	0	0
85960018	51615001	85960018	H563200	pulmonary fibrosis	1	1	1	0	0	0	0	0
885491000006116	51615001	885491000006116	H563199	pulmonary fibrosis	1	1	1	0	0	0	0	0
40879015	24369008	40879015	H57y200	pulmonary sarcoidosis	1	1	0	0	0	0	1	0
3513691000006110	62371005	103663017	NA	pulmonary siderosis	1	1	0	0	0	1	0	0
3689731000006112	73144008	121480011	NA	pulmonary talcosis	1	1	0	0	0	1	0	0
3657911000006119	71193007	118221015	NA	radiation fibrosis of lung	1	1	0	0	1	0	0	0
885431000006115	71193007	885431000006115	H4y1099	radiation lung fibrosis	1	1	0	0	1	0	0	0
885411000006114	196047000	885411000006114	H4y0099	radiation pneumonitis	1	1	0	0	1	0	0	0
1786171000006118	129451001	1775408010	H58y500	respiratory bronchiolitis associated interstitial lung dis	1	1	0	0	0	0	0	1
